startup_id,composite_score,true_outcome,market,Random_decision,Random_correct,Random_return,Rule-Based_decision,Rule-Based_correct,Rule-Based_return,ML_decision,ML_correct,ML_return,RL_decision,RL_correct,RL_return,score_bucket
1,0.3571,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.302, 0.411]"
2,0.1787,0,downturn,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.0824, 0.192]"
3,0.5419,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.52, 0.63]"
4,0.3063,0,downturn,INVEST,0,-0.75,INVEST,0,-0.75,INVEST,0,-0.75,REJECT,1,0.0,"(0.302, 0.411]"
5,0.4493,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
6,0.4578,0,downturn,INVEST,0,-0.75,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
7,0.3785,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.302, 0.411]"
8,0.4347,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,WATCHLIST,1,0.2,WATCHLIST,1,0.2,"(0.411, 0.52]"
9,0.538,0,downturn,REJECT,1,0.0,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.52, 0.63]"
10,0.4812,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
11,0.5656,1,downturn,REJECT,0,0.0,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
12,0.6296,1,downturn,INVEST,1,2.62,INVEST,1,2.62,INVEST,1,2.62,INVEST,1,2.62,"(0.52, 0.63]"
13,0.5713,1,downturn,REJECT,0,0.0,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
14,0.4012,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,WATCHLIST,1,0.2,"(0.302, 0.411]"
15,0.5512,1,downturn,REJECT,0,0.0,INVEST,1,2.62,INVEST,1,2.62,WATCHLIST,1,0.2,"(0.52, 0.63]"
16,0.232,0,downturn,WATCHLIST,1,0.2,WATCHLIST,1,0.2,REJECT,1,0.0,REJECT,1,0.0,"(0.192, 0.302]"
17,0.3749,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.302, 0.411]"
18,0.4795,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,INVEST,0,-0.75,WATCHLIST,1,0.2,"(0.411, 0.52]"
19,0.2983,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.192, 0.302]"
20,0.3115,0,downturn,WATCHLIST,1,0.2,INVEST,0,-0.75,REJECT,1,0.0,REJECT,1,0.0,"(0.302, 0.411]"
