startup_id,composite_score,true_outcome,market,Random_decision,Random_correct,Random_return,Rule-Based_decision,Rule-Based_correct,Rule-Based_return,ML_decision,ML_correct,ML_return,RL_decision,RL_correct,RL_return,score_bucket
1,0.3584,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,REJECT,1,0.0,REJECT,1,0.0,"(0.305, 0.413]"
2,0.2143,0,normal,WATCHLIST,1,0.2,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.196, 0.305]"
3,0.5676,1,normal,WATCHLIST,1,0.2,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
4,0.3091,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,INVEST,0,-1.0,REJECT,1,0.0,"(0.305, 0.413]"
5,0.4682,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
6,0.4642,0,normal,REJECT,1,0.0,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
7,0.3833,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.305, 0.413]"
8,0.4352,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,WATCHLIST,1,0.2,WATCHLIST,1,0.2,"(0.413, 0.522]"
9,0.538,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.522, 0.63]"
10,0.5244,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.522, 0.63]"
11,0.5657,1,normal,REJECT,0,0.0,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
12,0.6301,1,normal,INVEST,1,3.5,INVEST,1,3.5,INVEST,1,3.5,INVEST,1,3.5,"(0.522, 0.63]"
13,0.5954,1,normal,INVEST,1,3.5,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
14,0.403,0,normal,REJECT,1,0.0,INVEST,0,-1.0,REJECT,1,0.0,WATCHLIST,1,0.2,"(0.305, 0.413]"
15,0.5519,1,normal,INVEST,1,3.5,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
16,0.2455,0,normal,WATCHLIST,1,0.2,WATCHLIST,1,0.2,REJECT,1,0.0,REJECT,1,0.0,"(0.196, 0.305]"
17,0.3753,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,REJECT,1,0.0,WATCHLIST,1,0.2,"(0.305, 0.413]"
18,0.5033,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
19,0.312,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,REJECT,1,0.0,REJECT,1,0.0,"(0.305, 0.413]"
20,0.3611,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,REJECT,1,0.0,REJECT,1,0.0,"(0.305, 0.413]"
21,0.3743,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,REJECT,1,0.0,"(0.305, 0.413]"
22,0.1102,0,normal,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.0875, 0.196]"
23,0.4358,0,normal,REJECT,1,0.0,INVEST,0,-1.0,WATCHLIST,1,0.2,WATCHLIST,1,0.2,"(0.413, 0.522]"
24,0.4067,0,normal,REJECT,1,0.0,INVEST,0,-1.0,REJECT,1,0.0,WATCHLIST,1,0.2,"(0.305, 0.413]"
25,0.554,1,normal,WATCHLIST,1,0.2,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
26,0.4509,0,normal,REJECT,1,0.0,INVEST,0,-1.0,WATCHLIST,1,0.2,WATCHLIST,1,0.2,"(0.413, 0.522]"
27,0.088,0,normal,INVEST,0,-1.0,REJECT,1,0.0,REJECT,1,0.0,REJECT,1,0.0,"(0.0875, 0.196]"
28,0.5149,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
29,0.4754,0,normal,REJECT,1,0.0,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
30,0.359,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,REJECT,1,0.0,REJECT,1,0.0,"(0.305, 0.413]"
31,0.3814,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.305, 0.413]"
32,0.5953,1,normal,INVEST,1,3.5,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
33,0.2348,0,normal,INVEST,0,-1.0,WATCHLIST,1,0.2,REJECT,1,0.0,REJECT,1,0.0,"(0.196, 0.305]"
34,0.4812,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
35,0.4631,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
36,0.615,1,normal,INVEST,1,3.5,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
37,0.6216,1,normal,WATCHLIST,1,0.2,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
38,0.5028,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,INVEST,0,-1.0,WATCHLIST,1,0.2,"(0.413, 0.522]"
39,0.2704,0,normal,WATCHLIST,1,0.2,INVEST,0,-1.0,REJECT,1,0.0,REJECT,1,0.0,"(0.196, 0.305]"
40,0.6004,1,normal,WATCHLIST,1,0.2,INVEST,1,3.5,INVEST,1,3.5,WATCHLIST,1,0.2,"(0.522, 0.63]"
41,0.3318,0,normal,INVEST,0,-1.0,INVEST,0,-1.0,INVEST,0,-1.0,REJECT,1,0.0,"(0.305, 0.413]"
